"id","company_id","book_id"
"5","5","17994"
"6","60","17994"
"8","60","17995"
"10","109","17997"
"19","290","18001"
"20","5","18002"
"21","5","18003"
"23","7","18004"
"24","326","18005"
"25","414","18006"
"26","415","18007"
"32","109","18011"
"34","414","18013"
"35","414","18012"
"36","414","18014"
"38","109","18015"
"41","109","18018"
"43","2","18020"
"46","2","18023"
"47","109","18024"
"48","2","18025"
"49","2","2934"
"51","520","18030"
"52","521","18032"
"53","5","18033"
"54","5","18034"
"128","620","14775"
"136","109","18051"
"137","2","18050"
"138","2","18049"
"139","2","18048"
"149","691","18060"
"150","2","18061"
"232","689","18110"
"241","715","18118"
"252","109","18541"
"253","2","6164"
"254","109","16245"
"268","416","18008"
"279","690","18554"
"281","743","18557"
"285","746","12056"
"286","109","18560"
"296","753","17812"
"301","2","18572"
"305","109","1797"
"315","109","18584"
"316","109","18585"
"317","109","18586"
"328","812","17416"
"329","743","1660"
"330","813","787"
"331","813","893"
"336","817","18596"
"337","731","17035"
"339","818","18597"
"364","5","18601"
"381","828","18614"
"387","829","18620"
"388","832","18621"
"393","109","18622"
"394","2","8517"
"395","731","3484"
"396","731","1114"
"397","731","1113"
"399","2","12016"
"400","834","2166"
"401","835","10958"
"402","836","18625"
"413","839","18634"
"424","813","18643"
"427","842","18647"
"429","844","18649"
"430","844","18650"
"431","817","18651"
"435","2","18658"
"436","7","18659"
"439","5","18662"
"441","846","18663"
"452","109","18675"
"453","109","18676"
"466","5","18685"
"467","5","18686"
"473","7","18692"
"474","7","18693"
"475","850","18694"
"476","743","18695"
"477","851","18696"
"479","852","18699"
"494","522","18709"
"499","860","18714"
"508","2","18720"
"509","2","18719"
"511","109","18722"
"513","2","18724"
"514","7","18725"
"516","860","11257"
"532","891","18737"
"534","690","18739"
"537","2","18742"
"538","2","18743"
"539","109","18744"
"541","7","18746"
"542","5","18747"
"546","741","18751"
"547","7","18752"
"548","7","18163"
"550","813","18754"
"555","896","18759"
"564","897","18767"
"577","7","18791"
"578","898","18793"
"579","7","18796"
"598","741","18814"
"609","896","18124"
"610","7","18824"
"616","813","18828"
"622","743","18832"
"626","905","12666"
"627","2","18835"
"628","2","18836"
"629","109","18837"
"630","109","17666"
"631","689","12278"
"632","909","12270"
"633","109","13697"
"634","109","14323"
"635","109","9503"
"636","109","1186"
"637","109","1165"
"638","109","11873"
"647","5","18838"
"657","896","18844"
"660","912","18846"
"661","109","13156"
"669","2","6760"
"672","731","18851"
"673","914","18853"
"674","743","18854"
"681","7","18859"
"682","817","18860"
"689","7","18865"
"690","743","18866"
"692","741","18868"
"693","2","18869"
"708","2","18874"
"715","5","18881"
"718","829","18884"
"721","2","18887"
"723","741","18888"
"726","7","18891"
"727","741","18892"
"729","5","18894"
"730","2","18895"
"734","935","18898"
"735","935","18899"
"736","5","18900"
"737","2","18901"
"738","7","18902"
"740","7","18904"
"741","7","18905"
"744","935","18907"
"752","5","18913"
"755","896","18916"
"757","897","18911"
"768","955","18924"
"769","2","17288"
"770","109","18925"
"772","957","18927"
"775","958","18930"
"778","959","1614"
"782","743","18935"
"785","5","18938"
"790","741","18942"
"795","7","18945"
"798","2","18947"
"806","962","18954"
"807","7","18955"
"808","7","18956"
"811","7","18959"
"812","741","18960"
"817","896","18964"
"818","5","18965"
"819","5","18783"
"820","109","8675"
"821","326","18966"
"827","109","13044"
"828","109","18969"
"829","109","5762"
"832","5","12123"
"833","109","18970"
"838","690","2859"
"842","970","9636"
"845","2","18973"
"846","2","18974"
"850","109","7930"
"859","2","5135"
"861","972","12659"
"866","5","3119"
"884","109","17038"
"885","109","11182"
"901","109","10477"
"902","287","11187"
"903","287","6070"
"904","287","17727"
"916","109","12969"
"917","5","7691"
"919","109","1350"
"920","109","3405"
"921","2","18508"
"922","2","18518"
"923","2","18529"
"924","2","18530"
"926","909","5121"
"928","693","14341"
"931","109","16687"
"935","109","16212"
"936","5","18981"
"938","2","13894"
"941","899","14447"
"943","109","352"
"944","109","53"
"945","730","5040"
"949","782","637"
"952","5","18986"
"954","2","16097"
"955","860","18988"
"957","109","9138"
"963","832","18994"
"964","832","18995"
"965","832","18996"
"966","837","18997"
"967","1005","18998"
"969","109","19000"
"970","7","19001"
"971","972","16992"
"973","693","11590"
"974","109","16182"
"975","693","9596"
"976","2","2139"
"977","2","10002"
"979","7","19004"
"980","897","19005"
"982","1020","9053"
"984","1028","13560"
"985","1032","319"
"986","5","9195"
"991","109","19009"
"993","7","19011"
"994","7","19012"
"996","856","19013"
"997","1054","15163"
"998","2","92"
"999","693","14209"
"1002","734","19015"
"1005","734","19018"
"1006","836","19019"
"1007","2","19020"
"1008","2","19021"
"1016","5","8348"
"1017","690","19029"
"1018","690","19030"
"1020","5","19032"
"1022","1058","14139"
"1025","2","1600"
"1035","109","10215"
"1042","7","19040"
"1045","1020","10965"
"1046","109","795"
"1048","109","4747"
"1053","743","19046"
"1054","743","19045"
"1055","743","19047"
"1057","109","11423"
"1058","109","16514"
"1062","750","16614"
"1064","731","2628"
"1066","5","10920"
"1068","109","19056"
"1069","959","15362"
"1070","782","843"
"1071","1083","4417"
"1074","5","8928"
"1075","2","12221"
"1085","7","19025"
"1088","2","16317"
"1092","287","5750"
"1093","5","10975"
"1095","5","19070"
"1097","5","19072"
"1098","5","19073"
"1100","743","19074"
"1101","741","19067"
"1105","743","19077"
"1106","1005","19078"
"1107","109","7102"
"1108","2","19081"
"1111","109","3110"
"1112","240","19083"
"1113","109","5679"
"1114","109","5239"
"1117","2","5201"
"1118","109","19084"
"1119","754","18571"
"1120","109","18571"
"1122","813","1556"
"1124","109","3450"
"1126","743","10703"
"1129","741","19085"
"1130","109","19086"
"1131","741","19087"
"1132","5","19088"
"1136","849","18770"
"1137","849","19089"
"1139","896","19090"
"1140","7","18657"
"1142","7","19091"
"1143","5","19092"
"1144","5","18963"
"1145","7","19093"
"1147","5","19095"
"1148","7","19096"
"1149","897","19097"
"1152","743","19099"
"1154","743","19100"
"1155","2","10881"
"1156","2","8210"
"1158","1124","5176"
"1160","1124","13024"
"1163","5","16008"
"1164","109","1235"
"1165","109","129"
"1167","970","7256"
"1168","5","6470"
"1169","5","17289"
"1172","7","19102"
"1176","7","19104"
"1177","5","19105"
"1178","5","19002"
"1180","415","18830"
"1181","896","19106"
"1182","7","19107"
"1183","5","19108"
"1185","5","19110"
"1186","5","19111"
"1188","5","19112"
"1189","7","19113"
"1191","2","18910"
"1193","5","19115"
"1194","109","19116"
"1195","5","19117"
"1196","896","19118"
"1198","5","19119"
"1199","5","19120"
"1200","896","19121"
"1201","896","18961"
"1202","5","19122"
"1204","109","19123"
"1205","7","19124"
"1206","897","19125"
"1208","916","19126"
"1209","7","19127"
"1210","741","19128"
"1211","5","19129"
"1212","5","19130"
"1214","7","19132"
"1215","5","19133"
"1217","5","19027"
"1218","829","19134"
"1219","60","17996"
"1222","1083","10724"
"1223","5","16698"
"1225","2","12858"
"1226","240","19135"
"1227","741","19136"
"1228","829","19137"
"1231","916","19139"
"1232","5","19140"
"1236","7","19143"
"1237","7","19144"
"1238","896","19145"
"1239","896","19146"
"1243","5","19150"
"1244","7","19151"
"1247","7","19153"
"1253","916","19157"
"1254","5","19159"
"1255","5","19160"
"1256","5","19161"
"1258","5","19163"
"1259","7","19164"
"1261","240","19165"
"1262","7","19147"
"1263","958","19167"
"1265","690","19169"
"1270","743","19172"
"1272","109","19173"
"1275","1148","19175"
"1277","109","2608"
"1279","845","18661"
"1280","2","12000"
"1281","2","3787"
"1282","109","4191"
"1283","958","19178"
"1284","5","19179"
"1285","2","7183"
"1286","109","4520"
"1287","5","16821"
"1288","2","8836"
"1289","109","19180"
"1290","817","19181"
"1291","973","19182"
"1293","109","16198"
"1297","820","6759"
"1299","820","7263"
"1300","5","8816"
"1301","1090","19066"
"1302","2","13448"
"1304","5","5893"
"1305","240","19185"
"1306","240","19184"
"1307","240","19183"
"1309","1157","19187"
"1310","1157","19188"
"1311","743","19189"
"1312","896","19103"
"1313","287","6722"
"1314","730","16655"
"1316","2","10196"
"1318","2","3014"
"1319","109","19191"
"1320","109","7126"
"1321","109","19192"
"1322","109","15167"
"1323","689","19193"
"1324","820","19194"
"1327","896","19200"
"1328","109","15681"
"1330","813","5241"
"1331","826","5404"
"1332","5","19203"
"1334","2","2242"
"1335","5","17147"
"1336","813","525"
"1337","743","1435"
"1338","2","15295"
"1339","743","19186"
"1340","743","19205"
"1341","1183","327"
"1342","743","19206"
"1344","715","19207"
"1345","974","3040"
"1346","1185","19208"
"1348","1188","1900"
"1349","743","19209"
"1350","1193","19210"
"1351","240","719"
"1352","240","18181"
"1353","240","18196"
"1354","240","1131"
"1355","240","786"
"1356","109","2144"
"1357","109","11461"
"1358","5","17187"
"1359","109","16054"
"1362","5","9580"
"1363","109","1416"
"1365","7","18588"
"1366","7","18689"
"1367","7","18688"
"1370","690","19060"
"1371","690","19061"
"1373","896","19114"
"1374","2","17066"
"1376","741","18669"
"1377","916","18944"
"1379","1200","2088"
"1380","109","10105"
"1382","2","15770"
"1383","109","1353"
"1384","1202","10404"
"1385","820","10557"
"1386","1203","2461"
"1388","109","4000"
"1389","109","17054"
"1390","5","8377"
"1391","60","18993"
"1392","5","6971"
"1393","5","8366"
"1394","109","6260"
"1395","109","11601"
"1396","109","8316"
"1397","109","7941"
"1398","109","8153"
"1399","109","8501"
"1400","109","8364"
"1402","813","8709"
"1403","813","9956"
"1404","813","17770"
"1405","813","542"
"1406","2","7376"
"1410","2","2718"
"1411","2","6195"
"1412","2","17857"
"1413","2","6724"
"1414","2","7349"
"1416","2","6399"
"1417","2","2538"
"1418","2","6668"
"1419","2","6440"
"1420","2","6619"
"1421","2","3956"
"1422","2","8420"
"1423","2","7342"
"1424","2","8247"
"1426","2","6580"
"1427","2","7483"
"1428","860","3591"
"1429","2","17956"
"1430","2","17999"
"1431","2","18000"
"1432","2","18009"
"1433","2","18010"
"1434","2","18047"
"1435","2","18055"
"1436","2","18745"
"1437","2","544"
"1438","2","7469"
"1442","2","7439"
"1443","2","7792"
"1444","2","6481"
"1445","2","8193"
"1447","2","7918"
"1448","2","6627"
"1450","2","7209"
"1451","2","1495"
"1452","2","6709"
"1453","2","7048"
"1454","2","8132"
"1455","2","6144"
"1456","2","7895"
"1457","2","14496"
"1458","2","6433"
"1459","2","6231"
"1460","2","2544"
"1461","2","6364"
"1462","2","6454"
"1463","2","8362"
"1464","2","7298"
"1465","2","7123"
"1466","2","6268"
"1467","2","6859"
"1468","2","6414"
"1469","2","6845"
"1470","2","6278"
"1472","2","16286"
"1473","2","5678"
"1474","2","5259"
"1475","2","9384"
"1476","2","10084"
"1477","2","10085"
"1479","2","17664"
"1480","2","217"
"1481","2","384"
"1482","2","663"
"1483","2","904"
"1484","2","1136"
"1485","2","1329"
"1486","2","1566"
"1487","2","1736"
"1488","2","2089"
"1489","2","2286"
"1490","2","2569"
"1491","2","2744"
"1492","2","2815"
"1493","2","2969"
"1494","2","3052"
"1495","2","3192"
"1496","2","3361"
"1497","2","3420"
"1498","2","17047"
"1499","2","17088"
"1500","2","17136"
"1501","2","17208"
"1502","2","17900"
"1503","2","17929"
"1504","2","17930"
"1505","2","17931"
"1506","2","17932"
"1507","2","17933"
"1508","2","17941"
"1510","2","17943"
"1511","2","17944"
"1512","2","17946"
"1513","2","18826"
"1514","2","18982"
"1515","2","19049"
"1516","2","4246"
"1517","421","12475"
"1519","2","15176"
"1520","1250","4308"
"1522","109","1599"
"1523","1251","4343"
"1525","1252","4449"
"1526","109","10360"
"1527","109","6961"
"1528","109","11066"
"1531","750","6651"
"1532","5","6362"
"1533","974","15967"
"1534","974","15968"
"1535","974","1377"
"1536","974","7186"
"1537","974","1376"
"1538","974","7207"
"1539","974","7659"
"1540","974","1375"
"1541","731","18542"
"1542","2","16935"
"1543","2","16611"
"1544","782","3847"
"1545","820","10201"
"1546","820","10699"
"1548","2","17897"
"1549","2","8158"
"1550","109","10904"
"1553","846","11361"
"1554","2","11993"
"1555","2","2869"
"1556","2","3277"
"1557","2","17225"
"1558","287","12376"
"1559","287","7258"
"1562","1340","17777"
"1563","2","17784"
"1564","689","17665"
"1565","689","958"
"1566","689","1862"
"1568","743","17785"
"1571","1341","17786"
"1572","109","17787"
"1573","2","16764"
"1575","415","17788"
"1576","846","18987"
"1577","109","1891"
"1578","1342","8575"
"1580","109","17790"
"1581","415","12840"
"1582","1343","17791"
"1583","980","316"
"1584","813","17792"
"1586","817","1029"
"1587","1344","17794"
"1588","743","17795"
"1589","415","6915"
"1591","1074","17796"
"1593","109","9313"
"1594","734","17798"
"1595","2","6691"
"1597","1345","2049"
"1598","813","17799"
"1599","813","17370"
"1600","109","17801"
"1601","1346","17802"
"1602","2","17803"
"1604","813","17494"
"1605","813","17470"
"1606","1347","17804"
"1607","813","17458"
"1608","813","17419"
"1609","415","17805"
"1611","1348","17806"
"1612","813","17469"
"1613","813","2443"
"1614","813","3400"
"1615","813","19230"
"1616","813","19231"
"1617","109","10423"
"1618","109","7759"
"1619","5","17807"
"1620","1349","17808"
"1621","109","7784"
"1622","60","10524"
"1623","5","13194"
"1624","1350","17811"
"1625","846","17826"
"1626","109","17827"
"1627","743","18056"
"1629","5","14366"
"1630","743","18057"
"1631","1351","18057"
"1632","743","5387"
"1633","1349","2481"
"1635","2","7856"
"1636","2","8446"
"1637","2","7496"
"1638","1352","8882"
"1639","415","18133"
"1641","1157","18302"
"1642","731","14791"
"1643","5","18359"
"1645","2","14774"
"1646","2","19171"
"1647","109","15554"
"1648","2","19211"
"1649","2","14657"
"1650","1353","19212"
"1652","5","19213"
"1653","5","19214"
"1654","1340","16354"
"1655","109","19215"
"1656","109","19216"
"1657","926","6927"
"1659","813","522"
"1660","813","9413"
"1661","974","40"
"1662","1354","19217"
"1663","813","698"
"1664","782","5021"
"1665","2","19218"
"1666","2","2662"
"1667","2","11972"
"1668","813","11215"
"1669","813","1753"
"1670","813","299"
"1671","813","1772"
"1672","813","7273"
"1673","974","19219"
"1674","109","19220"
"1675","109","8434"
"1676","1074","19221"
"1677","693","19222"
"1678","109","19223"
"1679","109","5918"
"1680","1355","6280"
"1681","109","19224"
"1682","2","10949"
"1683","743","19225"
"1684","743","19226"
"1685","109","11811"
"1686","2","3764"
"1687","1356","19227"
"1688","287","13780"
"1689","856","19229"
"1690","109","13189"
"1692","2","14626"
"1693","2","15908"
"1694","414","11242"
"1695","2","15387"
"1698","109","2035"
"1700","1359","12556"
"1701","5","9943"
"1702","5","10001"
"1703","5","16311"
"1705","743","19071"
"1706","5","13231"
"1707","5","17698"
"1708","109","17800"
"1709","818","18134"
"1710","109","19228"
"1712","5","19232"
"1713","693","15715"
"1714","2","13740"
"1715","109","15174"
"1716","817","19233"
"1717","109","1593"
"1718","2","17046"
"1719","109","12681"
"1720","912","18852"
"1721","813","359"
"1722","2","14415"
"1725","109","10489"
"1726","109","4138"
"1727","287","165"
"1728","2","16630"
"1729","287","17744"
"1730","109","7424"
"1731","109","11500"
"1732","109","8317"
"1733","109","8018"
"1734","109","6551"
"1735","109","7906"
"1736","109","7490"
"1737","109","7458"
"1738","109","6679"
"1739","109","7883"
"1740","109","5631"
"1741","109","7677"
"1742","109","9149"
"1743","109","14542"
"1744","109","913"
"1745","109","19234"
"1746","109","10492"
"1747","109","9526"
"1748","109","10487"
"1749","109","10490"
"1750","109","7658"
"1752","109","19240"
"1753","109","19241"
"1754","109","10503"
"1755","5","9074"
"1756","5","11861"
"1757","109","16180"
"1759","5","5450"
"1760","731","7961"
"1761","2","2063"
"1763","813","661"
"1764","2","5377"
"1765","5","17780"
"1766","813","17782"
"1767","109","17778"
"1768","2","17092"
"1769","2","2448"
"1770","2","2309"
"1771","2","1840"
"1772","2","765"
"1773","2","1634"
"1774","2","17952"
"1775","2","17953"
"1776","2","18046"
"1777","2","18109"
"1778","109","516"
"1779","1399","8783"
"1780","2","17779"
"1782","5","17809"
"1783","2","17797"
"1784","109","9352"
"1785","109","10433"
"1786","109","10486"
"1787","109","8310"
"1788","109","7897"
"1789","109","5283"
"1790","109","10124"
"1791","926","15981"
"1792","926","14129"
"1793","926","6714"
"1794","926","7781"
"1795","926","17821"
"1797","2","2670"
"1800","2","3748"
"1802","2","4061"
"1803","2","1538"
"1804","2","1728"
"1805","2","1516"
"1806","2","2014"
"1807","2","4522"
"1808","2","2191"
"1809","2","12427"
"1810","2","12644"
"1811","2","460"
"1812","2","4700"
"1813","2","150"
"1814","2","6736"
"1815","2","12038"
"1816","109","12645"
"1817","109","19245"
"1818","109","19244"
"1819","109","19243"
"1820","109","19242"
"1821","109","12543"
"1822","109","10491"
"1823","109","11177"
"1824","109","12597"
"1825","109","17822"
"1826","109","12578"
"1827","109","12586"
"1829","109","12620"
"1830","2","12662"
"1831","2","16271"
"1832","2","13287"
"1833","109","19250"
"1834","109","19249"
"1835","109","19248"
"1836","109","19247"
"1838","109","19246"
"1839","109","12923"
"1840","109","12824"
"1841","820","13115"
"1842","2","17892"
"1844","109","13292"
"1845","109","16531"
"1846","109","2886"
"1847","2","1145"
"1848","2","1878"
"1849","2","2196"
"1850","2","2283"
"1851","2","5517"
"1852","109","5519"
"1853","109","5523"
"1855","731","19082"
"1857","2","5786"
"1858","2","6105"
"1859","2","16270"
"1860","109","19251"
"1861","109","19252"
"1862","109","19253"
"1863","109","19254"
"1864","2","8043"
"1865","2","8103"
"1866","109","9022"
"1867","926","9024"
"1868","5","9081"
"1869","5","9086"
"1870","5","2594"
"1871","5","19255"
"1872","5","19256"
"1873","782","19257"
"1874","782","19258"
"1875","782","19259"
"1876","782","19260"
"1877","782","19261"
"1878","109","10511"
"1879","926","9627"
"1880","813","11627"
"1881","109","11676"
"1882","1402","17824"
"1883","1402","17853"
"1884","813","12901"
"1885","813","12896"
"1886","813","12907"
"1887","926","17825"
"1888","2","13445"
"1890","820","303"
"1891","820","17730"
"1892","2","1668"
"1893","2","14566"
"1894","2","19262"
"1895","820","13492"
"1896","109","13730"
"1897","813","13791"
"1898","813","6615"
"1899","109","14025"
"1900","109","14031"
"1901","109","14032"
"1902","109","14036"
"1903","109","14037"
"1905","109","14040"
"1906","109","14041"
"1907","109","14042"
"1908","820","14046"
"1909","820","5020"
"1910","820","10077"
"1911","813","290"
"1912","813","2759"
"1913","813","2760"
"1914","813","2761"
"1915","813","2762"
"1916","813","2763"
"1917","813","2335"
"1918","813","3050"
"1919","813","18202"
"1920","813","19263"
"1921","813","19264"
"1922","813","19265"
"1923","813","19266"
"1924","813","19267"
"1925","813","19268"
"1926","1083","17828"
"1927","1083","17865"
"1929","1083","17867"
"1930","109","14161"
"1931","1340","14610"
"1933","109","11867"
"1934","109","3601"
"1935","690","12721"
"1936","690","19269"
"1937","690","19270"
"1938","690","19271"
"1939","690","19272"
"1941","690","11798"
"1942","2","4302"
"1943","2","1505"
"1944","2","8996"
"1945","2","11350"
"1946","2","12226"
"1947","2","19273"
"1948","2","11468"
"1949","2","5817"
"1950","2","3677"
"1952","109","11799"
"1953","2","16857"
"1955","109","2959"
"1957","109","4386"
"1958","109","3176"
"1959","2","9470"
"1961","5","3120"
"1962","109","19277"
"1963","2","7217"
"1965","690","5812"
"1966","690","5821"
"1967","690","16864"
"1968","690","2280"
"1969","690","9479"
"1970","690","11908"
"1971","2","6718"
"1972","2","7916"
"1974","2","6282"
"1975","2","3482"
"1977","2","7772"
"1979","2","8260"
"1980","2","7271"
"1981","1403","7388"
"1982","109","18654"
"1983","690","3769"
"1984","690","6790"
"1985","690","19281"
"1986","926","19284"
"1988","926","19285"
"1991","926","19286"
"1992","926","19287"
"1993","2","19288"
"1994","2","19289"
"1995","782","19291"
"1997","2","19293"
"1999","1185","19294"
"2000","1185","19295"
"2001","1185","19296"
"2002","2","19300"
"2004","2","19301"
"2005","2","19302"
"2006","2","19303"
"2007","2","19304"
"2008","2","19305"
"2009","2","19306"
"2010","2","19308"
"2011","2","19309"
"2012","2","19310"
"2013","690","19311"
"2015","782","19315"
"2016","782","19316"
"2017","1404","19319"
"2018","2","7708"
"2019","2","7011"
"2020","2","6634"
"2021","2","7340"
"2023","2","8005"
"2024","2","7491"
"2025","2","14275"
"2026","2","16452"
"2027","2","7673"
"2028","2","7822"
"2029","2","19320"
"2030","820","14925"
"2031","820","7029"
"2032","813","8059"
"2034","813","13195"
"2035","813","10528"
"2036","813","17354"
"2037","813","19321"
"2040","1074","16780"
"2041","926","930"
"2042","926","6893"
"2043","926","13844"
"2045","240","17937"
"2046","240","17938"
"2047","240","18063"
"2048","240","18064"
"2050","240","17935"
"2051","240","18065"
"2054","240","17936"
"2055","240","18066"
"2057","240","17939"
"2058","240","18067"
"2060","240","18068"
"2061","240","17934"
"2062","240","18069"
"2063","240","18070"
"2064","240","18071"
"2065","240","18072"
"2066","240","18073"
"2067","240","18074"
"2069","240","18075"
"2070","240","18076"
"2072","240","18077"
"2073","240","18078"
"2074","240","18079"
"2075","240","18080"
"2076","240","18081"
"2077","240","18082"
"2078","240","18083"
"2079","240","17971"
"2080","241","17971"
"2081","240","18084"
"2082","240","17972"
"2084","240","18085"
"2085","240","18086"
"2086","240","18087"
"2087","240","18088"
"2088","240","18089"
"2089","240","18090"
"2090","240","18091"
"2091","240","18092"
"2092","240","18093"
"2093","741","18093"
"2094","240","18094"
"2095","240","18095"
"2096","240","18096"
"2097","240","18097"
"2098","240","18098"
"2099","240","18099"
"2100","240","18106"
"2101","240","18100"
"2102","240","18101"
"2103","240","18062"
