"id","company_id","game_id"
"19","20","213"
"70","66","10819"
"71","68","10817"
"75","74","5120"
"78","18","7426"
"79","78","9474"
"80","82","7172"
"82","85","5637"
"88","88","6918"
"89","16","9478"
"90","91","2568"
"91","93","3336"
"92","94","3848"
"93","95","4872"
"95","96","1291"
"99","99","7435"
"100","100","7435"
"101","18","7435"
"102","9","3340"
"103","102","9"
"106","108","5688"
"120","62","125"
"124","118","178"
"125","91","198"
"126","23","1294"
"128","106","324"
"130","123","347"
"131","106","347"
"132","18","347"
"133","16","412"
"136","16","479"
"138","126","436"
"139","202","45"
"140","16","45"
"272","74","5939"
"296","200","2053"
"315","41","2097"
"352","41","2205"
"353","41","10248"
"354","41","1225"
"368","11","2204"
"369","106","2204"
"370","141","2204"
"371","74","3251"
"472","138","10246"
"473","202","10246"
"474","138","250"
"475","193","250"
"476","11","1809"
"477","138","1809"
"478","138","7851"
"479","138","10056"
"480","138","6971"
"490","138","4614"
"491","138","1470"
"497","138","3182"
"508","138","3778"
"509","138","8319"
"510","272","3067"
"514","31","2939"
"515","202","2939"
"519","279","2762"
"520","34","2762"
"523","191","2735"
"524","177","2735"
"539","177","9400"
"540","191","6532"
"541","177","6532"
"542","294","6532"
"543","202","6532"
"560","138","2968"
"602","68","2770"
"605","310","5160"
"606","202","5160"
"613","4","9080"
"614","202","9080"
"615","4","7206"
"616","68","4331"
"617","151","9220"
"618","307","9220"
"619","62","9220"
"620","106","3642"
"621","18","3642"
"629","41","3660"
"630","41","732"
"631","41","3603"
"632","41","10786"
"633","41","5875"
"634","41","473"
"635","41","8514"
"636","41","7517"
"677","18","667"
"683","34","3699"
"687","91","3706"
"711","292","3736"
"712","338","7627"
"713","345","7627"
"722","352","3728"
"723","353","3728"
"724","73","3728"
"725","31","3728"
"726","354","3732"
"732","25","7501"
"733","206","7501"
"734","123","7501"
"735","18","7501"
"736","202","7501"
"737","68","7499"
"744","360","4647"
"745","361","4647"
"746","18","7602"
"747","68","10587"
"811","379","4929"
"812","202","2074"
"833","151","5424"
"839","390","5325"
"840","16","5245"
"843","394","5492"
"846","18","6366"
"849","68","4847"
"850","68","4900"
"852","400","6261"
"870","405","5998"
"871","402","5998"
"872","406","5998"
"873","209","5998"
"874","141","5998"
"876","409","5974"
"877","104","5974"
"890","413","5793"
"891","4","5793"
"892","23","5793"
"897","23","5776"
"982","180","10696"
"984","406","9990"
"985","16","5567"
"1036","284","8451"
"1040","91","7072"
"1043","452","8431"
"1122","104","7071"
"1136","91","7065"
"1137","91","7100"
"1152","68","6848"
"1176","487","3396"
"1183","41","3528"
"1184","41","3522"
"1186","41","2512"
"1187","493","4423"
"1189","41","9516"
"1190","41","1373"
"1213","107","8103"
"1259","161","9017"
"1260","338","9017"
"1269","200","7010"
"1270","41","6931"
"1271","141","6931"
"1319","18","3314"
"1320","148","8055"
"1321","107","8285"
"1322","131","8285"
"1324","548","1503"
"1325","4","6991"
"1326","193","6991"
"1327","91","278"
"1328","91","5750"
"1331","74","5868"
"1332","187","5868"
"1333","74","7852"
"1334","553","1110"
"1335","553","5845"
"1336","91","5845"
"1337","91","2558"
"1338","91","2610"
"1339","91","5626"
"1340","91","8985"
"1341","91","1855"
"1342","91","8670"
"1343","91","1172"
"1344","91","7046"
"1345","135","7046"
"1346","91","2776"
"1408","23","6911"
"1413","141","7476"
"1414","136","7480"
"1419","22","7451"
"1421","575","7302"
"1458","202","6920"
"1459","18","6920"
"1460","202","1951"
"1461","202","9728"
"1462","18","9728"
"1463","202","9288"
"1464","272","9654"
"1465","202","9654"
"1470","583","5899"
"1471","406","5899"
"1472","135","5899"
"1473","29","5899"
"1474","583","7569"
"1475","406","7569"
"1476","583","3683"
"1477","584","3683"
"1478","583","10667"
"1479","584","10667"
"1480","402","3560"
"1522","41","720"
"1523","590","3004"
"1524","600","3004"
"1527","590","3232"
"1528","600","3232"
"1529","590","3698"
"1530","590","3408"
"1531","590","10229"
"1532","590","10237"
"1533","590","10087"
"1545","432","4094"
"1546","601","4094"
"1547","602","4094"
"1548","603","4094"
"1549","432","4771"
"1550","601","4771"
"1551","432","5964"
"1552","601","5964"
"1553","432","7549"
"1573","93","1087"
"1574","117","1087"
"1575","608","1087"
"1576","93","7174"
"1577","93","7620"
"1578","117","7620"
"1580","93","9490"
"1581","28","713"
"1582","29","713"
"1583","107","9364"
"1584","16","9364"
"1585","50","9364"
"1586","16","1887"
"1587","202","1887"
"1648","11","3261"
"1649","11","2591"
"1650","11","5523"
"1651","57","5523"
"1652","11","1821"
"1653","34","1821"
"1654","11","1630"
"1671","93","9471"
"1677","41","10457"
"1678","202","10457"
"1679","68","10365"
"1682","629","7275"
"1697","202","7803"
"1698","202","7024"
"1699","202","3956"
"1729","16","1929"
"1730","16","7983"
"1823","106","4881"
"1824","661","4881"
"1825","41","4881"
"1826","106","10675"
"1827","661","10675"
"1828","106","8913"
"1829","661","8913"
"1830","106","1170"
"1831","661","1170"
"1834","106","1344"
"1835","661","1344"
"1836","106","1182"
"1837","661","1182"
"1838","106","1228"
"1892","284","9345"
"1893","284","1151"
"1894","284","1206"
"1897","284","1269"
"1898","107","1269"
"1899","284","5100"
"1900","34","5100"
"1901","284","1392"
"1902","284","9968"
"1903","284","6469"
"1904","284","9574"
"1905","284","9390"
"1906","284","8791"
"1907","284","1368"
"1908","23","8269"
"1916","68","10392"
"1917","202","10392"
"1918","4","10634"
"1919","68","10634"
"1920","202","10634"
"1921","68","5504"
"1922","68","440"
"1923","68","3836"
"1924","202","3836"
"1925","68","10648"
"1926","202","10648"
"1932","34","8265"
"1933","68","2365"
"1934","4","3677"
"1935","34","3677"
"1936","68","3886"
"1937","4","3886"
"1938","68","3079"
"1949","20","3764"
"1950","595","5670"
"1953","4","1521"
"1963","41","3266"
"1964","11","10492"
"1965","151","2754"
"1966","65","2754"
"1967","202","2754"
"1968","23","4290"
"1969","73","4290"
"1970","23","8128"
"1971","23","10521"
"1972","23","8802"
"1973","702","5824"
"1974","11","2496"
"1976","11","3537"
"1977","238","9919"
"1978","284","676"
"1979","284","10065"
"1980","18","10065"
"1981","284","8786"
"1982","188","7615"
"1983","188","6111"
"1984","188","7300"
"1986","18","7103"
"1987","34","7103"
"1991","106","446"
"1992","707","5566"
"1998","191","702"
"2000","713","2749"
"2003","23","9404"
"2014","720","7047"
"2016","627","6464"
"2017","107","6464"
"2018","18","1550"
"2019","193","1550"
"2020","29","1550"
"2021","107","4019"
"2022","107","6680"
"2023","107","870"
"2024","720","794"
"2025","718","5606"
"2026","719","5743"
"2027","107","3755"
"2028","156","1217"
"2029","16","1217"
"2030","193","1217"
"2031","202","1217"
"2032","16","8883"
"2033","495","6059"
"2034","151","6059"
"2035","50","6059"
"2036","718","9132"
"2037","202","9132"
"2038","718","5214"
"2039","718","8731"
"2040","718","7235"
"2058","488","8800"
"2059","488","8432"
"2063","645","8201"
"2064","737","4710"
"2065","645","4710"
"2066","29","4710"
"2082","74","1884"
"2083","188","1884"
"2084","74","2437"
"2085","188","2437"
"2086","125","4119"
"2087","188","4119"
"2090","202","10466"
"2091","406","10466"
"2092","756","10466"
"2093","757","10466"
"2094","374","10466"
"2095","202","10162"
"2096","758","10162"
"2097","374","10162"
"2100","202","1195"
"2101","759","1195"
"2102","141","1195"
"2103","760","1195"
"2104","761","1195"
"2105","762","1195"
"2128","490","215"
"2134","29","32"
"2135","773","30"
"2151","4","4291"
"2173","720","7777"
"2177","401","9847"
"2185","785","560"
"2186","786","7945"
"2202","792","334"
"2203","792","3665"
"2204","49","6697"
"2205","29","6697"
"2206","49","5553"
"2207","29","5553"
"2208","781","4965"
"2209","104","4965"
"2210","209","329"
"2211","34","329"
"2212","209","2628"
"2213","29","2628"
"2214","781","1489"
"2215","29","1489"
"2216","781","9237"
"2262","50","280"
"2263","50","10088"
"2264","106","8919"
"2265","106","4761"
"2266","106","8158"
"2272","810","80"
"2273","810","103"
"2274","810","9722"
"2277","400","439"
"2286","673","5374"
"2294","402","10570"
"2300","188","8325"
"2306","64","10868"
"2329","140","4340"
"2342","871","600"
"2343","872","461"
"2345","872","9273"
"2346","284","4692"
"2347","872","8205"
"2348","872","5127"
"2349","488","2463"
"2350","488","470"
"2356","188","4902"
"2357","188","8702"
"2358","876","4200"
"2359","188","881"
"2360","876","881"
"2361","188","2592"
"2362","876","2592"
"2363","188","10240"
"2364","876","10240"
"2365","188","7638"
"2366","876","7638"
"2367","188","7069"
"2368","876","7069"
"2369","188","8193"
"2370","876","8193"
"2371","188","6179"
"2372","876","6179"
"2373","188","2771"
"2374","876","2771"
"2375","188","2111"
"2376","876","2111"
"2377","188","9954"
"2378","876","9954"
"2381","188","2732"
"2382","876","2732"
"2383","188","1666"
"2384","188","5730"
"2385","188","5232"
"2386","876","5232"
"2387","188","6129"
"2388","876","6129"
"2389","188","455"
"2390","876","455"
"2412","677","7930"
"2420","892","348"
"2423","66","4606"
"2426","901","6220"
"2430","491","273"
"2445","68","3923"
"2448","915","18007"
"2454","921","13698"
"2457","9","20455"
"2458","925","2593"
"2459","9","22900"
"2471","937","22845"
"2473","939","22828"
"2478","937","22793"
"2481","943","22779"
"2482","944","22776"
"2486","948","21760"
"2487","950","8704"
"2488","23","9011"
"2502","963","11825"
"2503","964","15643"
"2504","965","16809"
"2506","49","20057"
"2507","968","20057"
"2508","971","22293"
"2509","975","6674"
"2516","978","5719"
"2517","978","18739"
"2521","981","4098"
"2533","982","23074"
"2536","406","4993"
"2537","34","4993"
"2538","984","2457"
"2541","781","16478"
"2542","781","22614"
"2546","64","10319"
"2547","34","10319"
"2548","64","4861"
"2549","202","4861"
"2550","64","4476"
"2551","34","4476"
"2553","64","18972"
"2559","202","6314"
"2560","990","9550"
"2562","126","1682"
"2563","960","8888"
"2564","994","20003"
"2569","68","2787"
"2581","998","4650"
"2582","29","4650"
"2583","710","8400"
"2584","34","369"
"2585","406","3663"
"2586","29","3663"
"2589","777","1"
"2590","1001","10247"
"2592","1002","14427"
"2593","1003","23175"
"2595","41","15090"
"2597","1007","7866"
"2598","336","7866"
"2601","1010","22279"
"2606","91","3618"
"2607","202","3618"
"2608","655","8166"
"2611","1016","18510"
"2613","1018","10799"
"2614","1019","9169"
"2615","707","2396"
"2619","62","7652"
"2621","632","8831"
"2622","138","6312"
"2623","187","6312"
"2624","1030","6312"
"2625","773","10386"
"2628","16","11945"
"2630","123","11655"
"2631","43","11655"
"2632","1033","14006"
"2641","1037","15333"
"2645","792","9264"
"2649","1043","10129"
"2656","23","15480"
"2660","1050","11505"
"2680","1053","4721"
"2684","41","19510"
"2685","406","9639"
"2686","18","12822"
"2688","402","381"
"2691","104","9849"
"2703","1070","10198"
"2712","202","4592"
"2721","244","8423"
"2722","29","8423"
"2725","188","265"
"2726","710","4201"
"2728","50","14099"
"2729","1086","17131"
"2734","1055","22119"
"2735","1091","16223"
"2736","428","1104"
"2749","68","15107"
"2755","43","16395"
"2760","1102","8557"
"2767","960","7799"
"2768","1099","17559"
"2769","1098","8030"
"2778","68","6318"
"2780","253","9522"
"2784","740","10863"
"2794","533","108"
"2796","34","17"
"2798","1107","300"
"2799","491","16114"
"2802","805","11937"
"2803","74","20384"
"2804","187","20384"
"2805","1111","13410"
"2806","772","21089"
"2807","718","13315"
"2811","148","12212"
"2813","1115","18757"
"2815","86","15422"
"2816","86","6150"
"2817","16","6150"
"2818","86","9213"
"2819","1116","9213"
"2822","86","7597"
"2823","1116","7597"
"2825","1116","5856"
"2826","86","13729"
"2827","1116","13729"
"2829","1119","2759"
"2831","202","3029"
"2832","1121","10621"
"2833","34","7130"
"2834","104","1452"
"2835","104","9748"
"2837","792","7697"
"2838","707","2300"
"2844","148","19991"
"2845","1130","3331"
"2848","304","20483"
"2851","1011","4883"
"2852","1089","8355"
"2853","34","8355"
"2856","1131","3395"
"2857","22","3395"
"2858","1132","11083"
"2860","1133","22768"
"2865","319","13841"
"2866","202","13841"
"2867","765","12185"
"2868","31","14307"
"2870","162","841"
"2871","1135","11232"
"2873","1136","1439"
"2874","1139","18170"
"2875","1138","18170"
"2876","1140","18170"
"2877","1141","18170"
"2880","772","5179"
"2881","1144","8878"
"2882","792","5102"
"2883","41","7981"
"2889","889","320"
"2901","890","9281"
"2903","1150","5130"
"2904","131","177"
"2905","202","177"
"2907","41","4962"
"2908","986","2811"
"2909","202","2811"
"2913","202","5988"
"2914","136","5988"
"2915","74","5988"
"2918","148","3317"
"2930","140","22876"
"2932","140","3003"
"2935","1151","11435"
"2936","1151","8263"
"2938","491","9229"
"2939","1152","734"
"2941","135","10444"
"2944","710","9536"
"2947","18","9394"
"2948","34","9394"
"2950","710","3108"
"2952","57","10083"
"2953","34","10433"
"2955","1155","7972"
"2956","1155","7331"
"2958","1156","5849"
"2960","9","37"
"2962","9","7325"
"2963","9","10854"
"2964","9","22825"
"2965","140","5797"
"2966","202","5797"
"2969","148","5744"
"2970","202","5744"
"2972","91","7251"
"2973","140","20338"
"2975","1072","10014"
"2976","64","10014"
"2980","188","5113"
"2981","876","5113"
"2982","402","14542"
"2986","4","16950"
"2987","1039","133"
"2988","64","5363"
"2989","64","530"
"2990","1158","10250"
"2994","34","9917"
"2995","1160","2007"
"2997","1162","8939"
"2999","74","680"
"3002","23","10832"
"3005","773","5104"
"3006","1166","1374"
"3007","1168","6379"
"3008","202","1888"
"3010","1169","4630"
"3011","1171","9939"
"3012","28","214"
"3014","1172","14465"
"3015","28","3464"
"3016","23","15381"
"3017","1174","16808"
"3018","1175","16808"
"3021","36","6735"
"3023","1178","3870"
"3024","149","6132"
"3025","23","20599"
"3026","41","20599"
"3027","73","20599"
"3029","1179","2037"
"3030","595","13414"
"3031","1018","8473"
"3032","202","9900"
"3036","1182","6649"
"3037","1109","18603"
"3038","1110","18603"
"3039","1009","3343"
"3040","792","8812"
"3041","792","8708"
"3042","50","3006"
"3043","41","22463"
"3046","1186","150"
"3047","1187","11766"
"3048","202","2779"
"3049","202","9161"
"3050","202","1966"
"3051","202","1358"
"3052","202","7126"
"3053","202","2291"
"3054","202","8560"
"3055","202","626"
"3056","1190","1115"
"3057","16","14349"
"3058","1192","15606"
"3059","18","6072"
"3060","336","6322"
"3061","148","7068"
"3063","202","2"
"3064","1081","22976"
"3066","1197","9755"
"3067","692","10834"
"3068","692","1453"
"3070","41","6837"
"3071","104","8338"
"3072","400","8338"
"3073","1199","5"
"3076","1201","7"
"3077","429","7894"
"3078","62","873"
"3088","53","3416"
"3089","53","10488"
"3093","735","4072"
"3094","1205","4072"
"3095","62","4072"
"3096","9","17101"
"3097","489","7371"
"3098","488","2468"
"3099","489","2468"
"3100","735","2468"
"3101","489","2227"
"3102","490","2227"
"3103","488","2227"
"3104","1207","13"
"3106","947","19"
"3107","37","10843"
"3108","9","10823"
"3111","9","10821"
"3112","202","10821"
"3113","68","1390"
"3116","4","10825"
"3117","4","10227"
"3118","21","6206"
"3120","4","9587"
"3121","18","8167"
"3123","18","10826"
"3127","140","5144"
"3128","68","7473"
"3130","18","1090"
"3131","11","9194"
"3132","202","7533"
"3133","74","7533"
"3136","68","6775"
"3137","74","8880"
"3138","74","6499"
"3142","74","1804"
"3143","18","1804"
"3144","34","1804"
"3145","74","13260"
"3146","4","117"
"3149","68","538"
"3150","68","4490"
"3157","21","8059"
"3161","117","6251"
"3164","21","10238"
"3165","74","10238"
"3166","21","111"
"3167","18","111"
"3168","68","111"
"3169","16","6221"
"3170","202","6221"
"3171","68","4199"
"3172","202","4199"
"3173","68","342"
"3174","202","9884"
"3175","50","9884"
"3176","36","9884"
"3177","212","9884"
"3184","62","1124"
"3185","749","1124"
"3186","24","6136"
"3187","24","8488"
"3188","9","8488"
"3189","25","3807"
"3190","202","3807"
"3192","24","7453"
"3193","24","8466"
"3194","24","15463"
"3195","11","9689"
"3196","166","6032"
"3197","1210","6032"
"3198","1211","6032"
"3199","106","10839"
"3201","106","6790"
"3205","177","2893"
"3206","136","2893"
"3207","202","2893"
"3208","202","8507"
"3209","136","8507"
"3210","136","8940"
"3211","202","8940"
"3212","202","1748"
"3213","74","1748"
"3214","50","1748"
"3215","141","1748"
"3216","136","4643"
"3217","136","1838"
"3218","50","1838"
"3219","175","6963"
"3220","176","6963"
"3221","177","6963"
"3222","140","2182"
"3223","140","1620"
"3224","140","6394"
"3225","18","6394"
"3226","29","6394"
"3227","202","6394"
"3228","401","607"
"3229","140","607"
"3230","29","607"
"3231","202","607"
"3232","140","8937"
"3233","202","8937"
"3234","140","20887"
"3235","140","761"
"3236","62","10118"
"3237","401","5904"
"3238","202","5904"
"3239","401","6186"
"3240","401","3394"
"3241","202","3394"
"3242","401","1183"
"3243","402","6013"
"3244","140","5632"
"3245","232","5632"
"3246","202","5632"
"3247","140","2072"
"3248","202","2072"
"3249","140","10442"
"3250","202","10442"
"3251","117","6999"
"3252","202","6999"
"3253","117","10215"
"3254","234","3627"
"3255","117","3627"
"3256","202","3627"
"3257","117","10373"
"3258","11","2341"
"3259","4","10791"
"3262","4","9289"
"3264","4","6284"
"3265","4","10833"
"3266","4","10842"
"3268","4","10148"
"3269","140","9844"
"3271","91","9524"
"3272","140","22802"
"3273","1214","24"
"3274","1215","27"
"3275","91","27"
"3276","1214","494"
"3277","1216","10733"
"3278","1217","10733"
"3279","91","10733"
"3280","91","4584"
"3281","140","4584"
"3282","140","28"
"3285","31","6864"
"3286","762","6864"
"3289","29","7539"
"3290","31","31"
"3291","151","8832"
"3292","4","8832"
"3293","50","8832"
"3296","151","7050"
"3297","34","7050"
"3300","151","35"
"3301","151","36"
"3302","161","3953"
"3303","107","3953"
"3304","156","3953"
"3305","512","3953"
"3306","187","3953"
"3307","514","3953"
"3308","161","5347"
"3309","156","5347"
"3310","161","6678"
"3311","511","6678"
"3312","156","6678"
"3313","338","6678"
"3314","514","6678"
"3315","161","8155"
"3316","161","8367"
"3317","161","8616"
"3319","161","8361"
"3321","4","1168"
"3322","202","1168"
"3324","4","2553"
"3325","161","3822"
"3326","161","10187"
"3327","590","3325"
"3328","590","3957"
"3329","595","3957"
"3331","590","7522"
"3332","590","1795"
"3333","188","1795"
"3334","590","3468"
"3335","590","1327"
"3336","590","11927"
"3337","590","7844"
"3338","590","196"
"3339","593","941"
"3340","590","941"
"3341","590","1222"
"3342","590","1119"
"3343","16","1272"
"3344","590","1272"
"3345","590","1910"
"3346","590","1341"
"3347","123","1341"
"3348","596","1341"
"3349","16","52"
"3350","68","38"
"3351","1221","38"
"3352","91","3244"
"3353","91","6954"
"3354","16","6954"
"3355","1210","6954"
"3356","16","10754"
"3357","16","5943"
"3358","202","5943"
"3359","16","8224"
"3360","756","8224"
"3361","1210","8224"
"3362","16","1325"
"3363","16","5590"
"3364","16","40"
"3366","16","41"
"3367","16","10841"
"3368","16","49"
"3369","16","51"
"3370","16","53"
"3373","66","55"
"3374","16","55"
"3375","16","57"
"3376","91","7049"
"3377","202","7049"
"3378","91","6295"
"3379","34","6295"
"3380","385","6295"
"3381","43","2634"
"3384","1222","8209"
"3385","43","8209"
"3386","43","4702"
"3387","74","5766"
"3388","74","8521"
"3389","187","8521"
"3390","74","6050"
"3391","187","6050"
"3392","29","6050"
"3393","74","5910"
"3394","187","5910"
"3395","29","5910"
"3396","74","8988"
"3397","34","8988"
"3398","202","6583"
"3399","74","6583"
"3400","107","6583"
"3401","202","6890"
"3402","74","6890"
"3403","74","20656"
"3404","74","9360"
"3405","188","9360"
"3406","74","10851"
"3407","41","10851"
"3408","74","1505"
"3409","188","1505"
"3410","189","1505"
"3411","107","1505"
"3414","74","9802"
"3415","107","9802"
"3416","74","9778"
"3417","202","4715"
"3418","74","4715"
"3419","68","2366"
"3420","68","9514"
"3421","68","7774"
"3422","202","1644"
"3423","68","1644"
"3424","202","10326"
"3425","68","10326"
"3426","68","4148"
"3427","68","3278"
"3428","289","7360"
"3429","289","60"
"3430","289","39"
"3432","107","63"
"3433","107","4691"
"3434","141","4691"
"3437","107","948"
"3438","29","948"
"3440","34","4254"
"3441","1226","7942"
"3443","16","8916"
"3444","1228","5917"
"3446","202","3146"
"3447","202","9913"
"3448","202","5664"
"3449","202","7269"
"3450","304","8712"
"3451","107","8712"
